state,abbr,population,lon,lat,region,obesity,smoking,inactive,diabetes,mental,alcohol,fruit,veg,risk_index
New South Wales,NSW,8339000,147.0,-32.5,East,31.2,10.1,37.5,5.4,22.0,25.4,44.5,7.2,21.9
Victoria,VIC,6959000,144.5,-37.1,South-East,30.4,9.8,36.2,5.2,23.5,24.1,45.8,7.5,21.1
Queensland,QLD,5560000,144.5,-22.7,North-East,34.3,12.5,39.1,6.1,21.6,26.8,42.9,6.8,23.8
South Australia,SA,1890000,135.5,-30.0,Central-South,32.8,11.4,38.0,5.9,22.8,24.6,46.1,8.3,22.5
Western Australia,WA,2960000,122.0,-25.8,West,33.1,10.9,35.7,5.3,20.9,27.4,43.8,7.0,22.5
Tasmania,TAS,576000,147.0,-42.0,Island,36.7,13.2,41.2,6.5,24.4,25.9,48.0,9.4,24.7
Northern Territory,NT,254000,133.0,-19.5,North,35.5,15.0,34.8,7.2,19.5,30.2,39.5,5.9,24.5
Australian Capital Territory,ACT,466000,149.1,-35.3,Capital,27.1,6.8,31.5,4.1,24.8,23.7,50.1,10.2,18.6
